Indicador,Ano,Valor,Volume_Agua_hm3
Murcia (Región de). Pernoctaciones. Total.,2024,3440926.0,271.4807692307692
Murcia (Región de). Pernoctaciones. Total.,2025,3556567.0,472.16279069767444
Murcia (Región de). Viajeros. Residentes en España.,2021,492805.0,430.0769230769231
Murcia (Región de). Viajeros. Residentes en España.,2022,1013030.0,377.3269230769231
Murcia (Región de). Viajeros. Residentes en España.,2023,1093002.0,235.65384615384616
Murcia (Región de). Viajeros. Residentes en España.,2024,1157323.0,271.4807692307692
Murcia (Región de). Viajeros. Residentes en España.,2025,1179368.0,472.16279069767444
Murcia (Región de). Viajeros. Residentes en el extranjero.,2021,116945.0,430.0769230769231
Murcia (Región de). Viajeros. Residentes en el extranjero.,2022,294850.0,377.3269230769231
Murcia (Región de). Viajeros. Residentes en el extranjero.,2023,310239.0,235.65384615384616
Murcia (Región de). Viajeros. Residentes en el extranjero.,2024,337935.0,271.4807692307692
Murcia (Región de). Viajeros. Residentes en el extranjero.,2025,362755.0,472.16279069767444
Murcia (Región de). Viajeros. Total.,2021,609747.0,430.0769230769231
Murcia (Región de). Viajeros. Total.,2022,1307879.0,377.3269230769231
Murcia (Región de). Viajeros. Total.,2023,1403241.0,235.65384615384616
Murcia (Región de). Viajeros. Total.,2024,1495254.0,271.4807692307692
Murcia (Región de). Viajeros. Total.,2025,1542125.0,472.16279069767444
Murcia. Pernoctaciones. Total categorías. Residentes en España. Dato. ,2021,1091812.0,430.0769230769231
Murcia. Pernoctaciones. Total categorías. Residentes en España. Dato. ,2022,2187763.0,377.3269230769231
Murcia. Pernoctaciones. Total categorías. Residentes en España. Dato. ,2023,2362067.0,235.65384615384616
Murcia. Pernoctaciones. Total categorías. Residentes en España. Dato. ,2024,2542468.0,271.4807692307692
Murcia. Pernoctaciones. Total categorías. Residentes en España. Dato. ,2025,2605573.0,472.16279069767444
Murcia. Pernoctaciones. Total categorías. Residentes en el Extranjero. Dato. ,2021,290430.0,430.0769230769231
Murcia. Pernoctaciones. Total categorías. Residentes en el Extranjero. Dato. ,2022,767778.0,377.3269230769231
Murcia. Pernoctaciones. Total categorías. Residentes en el Extranjero. Dato. ,2023,835286.0,235.65384615384616
Murcia. Pernoctaciones. Total categorías. Residentes en el Extranjero. Dato. ,2024,898459.0,271.4807692307692
Murcia. Pernoctaciones. Total categorías. Residentes en el Extranjero. Dato. ,2025,950995.0,472.16279069767444
Murcia. Pernoctaciones. Total categorías. Total. Dato. ,2021,1382241.0,430.0769230769231
Murcia. Pernoctaciones. Total categorías. Total. Dato. ,2022,2955540.0,377.3269230769231
Murcia. Pernoctaciones. Total categorías. Total. Dato. ,2023,3197354.0,235.65384615384616
Murcia. Pernoctaciones. Total categorías. Total. Dato. ,2024,3440926.0,271.4807692307692
Murcia. Pernoctaciones. Total categorías. Total. Dato. ,2025,3556567.0,472.16279069767444
Murcia. Viajero. Total categorías. Residentes en España. Dato. ,2021,492805.0,430.0769230769231
Murcia. Viajero. Total categorías. Residentes en España. Dato. ,2022,1013030.0,377.3269230769231
Murcia. Viajero. Total categorías. Residentes en España. Dato. ,2023,1093002.0,235.65384615384616
Murcia. Viajero. Total categorías. Residentes en España. Dato. ,2024,1157323.0,271.4807692307692
Murcia. Viajero. Total categorías. Residentes en España. Dato. ,2025,1179368.0,472.16279069767444
Murcia. Viajero. Total categorías. Residentes en el Extranjero. Dato. ,2021,116945.0,430.0769230769231
Murcia. Viajero. Total categorías. Residentes en el Extranjero. Dato. ,2022,294850.0,377.3269230769231
Murcia. Viajero. Total categorías. Residentes en el Extranjero. Dato. ,2023,310239.0,235.65384615384616
Murcia. Viajero. Total categorías. Residentes en el Extranjero. Dato. ,2024,337935.0,271.4807692307692
Murcia. Viajero. Total categorías. Residentes en el Extranjero. Dato. ,2025,362755.0,472.16279069767444
Murcia. Viajero. Total categorías. Total. Dato. ,2021,609747.0,430.0769230769231
Murcia. Viajero. Total categorías. Total. Dato. ,2022,1307879.0,377.3269230769231
Murcia. Viajero. Total categorías. Total. Dato. ,2023,1403241.0,235.65384615384616
Murcia. Viajero. Total categorías. Total. Dato. ,2024,1495254.0,271.4807692307692
Murcia. Viajero. Total categorías. Total. Dato. ,2025,1542125.0,472.16279069767444
