Variavel,Peso_Importancia
Ano,0.9866116537572533
Volume_Agua_Agricola,0.009877584600746834
Comunidad_Comunitat Valenciana,0.0028506511857157913
Comunidad_Región de Murcia,0.0006601104562840267
